#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_deere;Deere;Deere;Deere;;Deere;;;;;;;;;x
b_weyerhaeuser;Weyerhaeuser;Weyerhaeuser;Weyerhaeuser;;Weyerhaeuser;;;;;;;;;x
b_ely;Ely;Ely;Ely;;Ely;;;;;;;;;x
b_rohwedder;Rohwedder;Rohwedder;Rohwedder;;Rohwedder;;;;;;;;;x
b_cody;Cody;Cody;Cody;;Cody;;;;;;;;;x
b_zinn;Zinn;Zinn;Zinn;;Zinn;;;;;;;;;x
b_wise;Wise;Wise;Wise;;Wise;;;;;;;;;x
b_crosley;Crosley;Crosley;Crosley;;Crosley;;;;;;;;;x
b_procter;Procter;Procter;Procter;;Procter;;;;;;;;;x
b_gamble;Gamble;Gamble;Gamble;;Gamble;;;;;;;;;x
